"prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant","diel_migrant_cat","refuge","refuge_cat","season_migrant","season_cat","body_shape","l_max","phys_defense","transparent","col_disrupt","silver","countershade","gregarious_primary","trophic_level","fisheries_status"
"Actinopterygii","Osmeriformes","Opisthoproctidae","Monacoa grimaldii","juvenile","mesopelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","compressiform",NA,0,"0","0","1","0","NA","NA","none"
"Actinopterygii","Osmeriformes","Opisthoproctidae","Monacoa grimaldii","larva","epipelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","compressiform",NA,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Carangidae","Decapterus macarellus","adult","epipelagic","oceanic","NA","diel_UN","0","refuge_no","1","season_yes","fusiform",46,1,"0","0","1","1","schooling","3.24","commercial"
"Actinopterygii","Perciformes","Carangidae","Decapterus macarellus","juvenile","epipelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","fusiform",24.5,1,"0","0","1","1","schooling","NA","none"
"Actinopterygii","Perciformes","Carangidae","Decapterus macarellus","larva","epipelagic","oceanic","NA","diel_UN","0","refuge_no","NA","season_NA","fusiform",1.5,1,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Carangidae","Decapterus macrosoma","adult","epipelagic","reef-associated","NA","diel_UN","0","refuge_no","1","season_yes","fusiform",35,1,"0","0","1","1","schooling","3.4","commercial"
"Actinopterygii","Perciformes","Carangidae","Decapterus macrosoma","juvenile","epipelagic","reef-associated","NA","diel_UN","0","refuge_no","NA","season_NA","fusiform",17.6,1,"0","0","1","1","schooling","NA","none"
"Actinopterygii","Perciformes","Carangidae","Decapterus macrosoma","larva","epipelagic","oceanic","NA","diel_UN","0","refuge_no","1","season_yes","fusiform",NA,0,"1","0","0","0","schooling","NA","none"
"Actinopterygii","Perciformes","Gempylidae","Lepidocybium flavobrunneum","adult","mesopelagic","continental slope","1","diel_yes","0","refuge_no","1","season_yes","fusiform",200,1,"0","0","1","0","schooling","4.34","minor commercial"
"Actinopterygii","Perciformes","Gempylidae","Lepidocybium flavobrunneum","juvenile","mesopelagic","continental slope","1","diel_yes","0","refuge_no","1","season_yes","fusiform",30,1,"0","0","1","0","schooling","NA","none"
