"prey_class","prey_order","prey_family","prey_sp","measure","adult","juvenile","larva","larva_adult","juve_adult"
"Cephalopoda","Oegopsida","Cranchiidae","Liocranchia reinhardtii","l_min",22.3322576937224,NA,0.289715775486129,1.2972972972973,NA
"Cephalopoda","Oegopsida","Cranchiidae","Teuthowenia megalops","l_max",62.5787956123373,28.4733520036135,13.2979940676217,21.25,45.5
"Cephalopoda","Oegopsida","Cranchiidae","Teuthowenia megalops","l_min",28.4733520036135,13.2979940676217,0.625787956123373,2.1978021978022,46.7032967032967
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia redfieldi","l_max",6.83428234797389,5.50539411364563,NA,NA,80.5555555555555
"Cephalopoda","Oegopsida","Enoploteuthidae","Abralia redfieldi","l_min",5.50539411364563,NA,0.47460294083152,8.62068965517242,NA
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis affinis","l_max",9.41080912162715,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis affinis","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis felis","l_max",17.4557079803295,6.54589049262357,1.15644065369683,6.625,37.5
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis felis","l_min",6.54589049262357,1.15644065369683,0.283655254680355,4.33333333333334,17.6666666666667
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis gilchristi","l_max",12.0727221190135,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis gilchristi","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis morisii","l_max",10.0189824057196,NA,3.72133632212441,37.142857142857,NA
"Cephalopoda","Oegopsida","Enoploteuthidae","Abraliopsis morisii","l_min",NA,NA,0.858769920490249,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis anonychus","l_max",24.715869386552,16.4772462577013,1.41704317816231,5.73333333333331,66.6666666666665
"Cephalopoda","Oegopsida","Gonatidae","Berryteuthis anonychus","l_min",16.4772462577013,1.41704317816231,0.428408402700235,2.60000000000001,8.59999999999999
"Cephalopoda","Oegopsida","Gonatidae","Gonatopsis borealis","l_max",58.4100445745581,NA,1.77000135074418,3.03030303030302,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatopsis borealis","l_min",NA,1.77000135074418,NA,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus berryi","l_max",39.8325071084157,NA,1.65968779618399,4.16666666666667,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus berryi","l_min",NA,1.65968779618399,NA,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus californiensis","l_max",52.8112311388557,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus californiensis","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus onyx","l_max",28.044109345056,NA,1.72132809083447,6.13793103448275,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus onyx","l_min",NA,1.72132809083447,0.580222951966676,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus pyros","l_max",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus pyros","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus steenstrupi","l_max",24.8335621726835,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Gonatidae","Gonatus steenstrupi","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis bonnellii","l_max",113.583592549183,24.0934893286146,NA,NA,21.2121212121212
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis bonnellii","l_min",24.0934893286146,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis heteropsis","l_max",39.9342857142857,16.6392857142857,NA,NA,41.6666666666666
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis heteropsis","l_min",16.6392857142857,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis meleagroteuthis","l_max",38.5419251560216,21.9756590801878,NA,NA,57.0175438596493
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis meleagroteuthis","l_min",21.9756590801878,2.36660943940484,NA,NA,10.7692307692308
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis reversa","l_max",53.9912621016317,14.2082268688505,3.69413898590112,6.8421052631579,26.3157894736843
"Cephalopoda","Oegopsida","Histioteuthidae","Histioteuthis reversa","l_min",14.2082268688505,5.68329074754018,1.13665814950804,8,39.9999999999999
"Cephalopoda","Oegopsida","Histioteuthidae","Stigmatoteuthis dofleini","l_max",33.5,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Histioteuthidae","Stigmatoteuthis dofleini","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Histioteuthidae","Stigmatoteuthis hoylei","l_max",86.9180616333414,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Histioteuthidae","Stigmatoteuthis hoylei","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Lycoteuthidae","Lycoteuthis lorigera","l_max",38.7280444717763,18.3448631708414,NA,NA,47.3684210526316
"Cephalopoda","Oegopsida","Lycoteuthidae","Lycoteuthis lorigera","l_min",18.3448631708414,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Mastigoteuthidae","Mastigoteuthis dentata","l_max",11.8584563515954,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Mastigoteuthidae","Mastigoteuthis dentata","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis nielseni","l_max",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis nielseni","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis rugosa","l_max",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis rugosa","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis sicula","l_max",43.4862943469484,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Octopoteuthidae","Octopoteuthis sicula","l_min",NA,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Octopoteuthidae","Taningia danae","l_max",324.210290276717,NA,NA,NA,NA
"Cephalopoda","Oegopsida","Octopoteuthidae","Taningia danae","l_min",NA,1.90711935456893,NA,NA,NA
"Cephalopoda","Oegopsida","Ocythoidae","Ocythoe tuberculata","l_max",96,NA,NA,NA,NA
