prey_sp,prey_age_reported_1,maxTL,meanGAPE,l_adult,meanLENGTH,meanFRAC,larva_adult_use,juve_adult_use,life_stage,maxFO,maxN,maxM
Ostracion cubicus,none,0,9.61765,45,9.61765,21.37255556,2,30,juvenile,1.6,0.2,0
Palinurus mauritanicus,juvenile,0,7.75767,75,7.75767,10.34356,2.973333333,12,juvenile,8,0,0
Palinurus mauritanicus,larva,0,7.75767,75,7.75767,10.34356,2.973333333,12,larva,8,0,0
Paralepis coregonoides,adult,0,9.52712,56.19828521,9.52712,16.95268808,5.872065291,22.90105464,adult,0.862068966,20.38,26.89
Paralepis coregonoides,none,0,7.75767,56.19828521,7.75767,13.80410447,5.872065291,22.90105464,juvenile,81.48148148,0,0
Paralepis speciosa,adult,0,9.52712,NA,NA,NA,10.93220695,36.07413932,adult,0.862068966,17.1,23.04
Parapasiphae sulcatifrons,none,0,7.75767,9.89,7.75767,78.43953488,16.17795753,19.21132457,adult,4,0,0
Parapronoe crustulum,none,0,7.0256938,2,2,100,13.22770383,35.93848364,adult,1.5,0.2,0.1
Parribacus antarcticus,none,0,9.61765,20,9.61765,48.08825,10,13.125,adult,0.5,0.1,0
Peprilus simillimus,none,0,7.38732,37.66861552,7.38732,19.6113393,7.142857143,36.79423303,juvenile,0.5,0.1,0
Peristedion gracile,none,0,10.0703,20,10.0703,50.3515,6.180655111,33.5,adult,3,0,0
Photonectes margarita,none,0,7.38732,50.60159822,7.38732,14.59898553,17.10750385,45.51478642,larva,0,0,0
Phrosina semilunata,adult,0,7.75767,3,3,100,13.22770383,35.93848364,adult,0.1,0,0
Phrosina semilunata,none,0,8.263274171,3,3,100,13.22770383,35.93848364,adult,65,4.2,6.5
Platyscelus armatus,none,0,7.38732,1.6,1.6,100,13.22770383,35.93848364,adult,0,0,0
Platyscelus ovoides,none,0,8.703014829,2,2,100,13.22770383,35.93848364,adult,9.259259259,1.1,1.3
Platyscelus serratulus,none,0,8.642395,0.7,0.7,100,13.22770383,35.93848364,adult,1.851851852,0.06,0.08
Pleuroncodes planipes,adult,3.38,7.53546,13,6.38549,49.11915385,5.538461538,11.15384615,adult,27.75,1.3,23.3
Pleuroncodes planipes,none,0,7.6836,13,7.6836,59.10461538,5.538461538,11.15384615,adult,1.162790698,0.153022188,0.182773032
Pleuronichthys decurrens,none,0,7.38732,37,7.38732,19.96572973,5.675675676,34.34146341,juvenile,33.33333333,0,0
Pleuronichthys decurrens,none,1.8,7.97988,37,1.8,4.864864865,5.675675676,34.34146341,larva,1,0,0
Polybius henslowii,adult,0,7.75767,4.4,4.4,100,13.22770383,85.90909091,adult,1.851851852,0,0
