"prey_sp","prey_age_reported_1","maxl_type","maxFO","maxN","maxM","maxL"
"Trachinotus ovatus","none","NO",1.85185185185185,0,0,0
"Trachipterus trachypterus","none","NO",0,0,0,0
"Trachurus japonicus","none","NO",5.6,0.8,13.9,0
"Trachurus symmetricus","juvenile","NO",5.35,0,1.75,0
"Trachurus symmetricus","juvenile","TL",40.6976744186046,13.6954858454476,27.5378035555447,0
"Trachurus symmetricus","none","NO",0.5,0.1,0,0
"Trachurus symmetricus","none","PB",4,0,1,64.7
"Trachurus trachurus","none","NO",43,28.1,42.4,120
"Tremoctopus gracilis","none","NO",3.2,0.1,1.5,0
"Tremoctopus violaceus","none","NO",21.31,7.42,0,0
"Triphoturus mexicanus","none","NO",6.97674418604651,0.459066564651875,0.000609243441494352,0
"Vampyroteuthis infernalis","none","NO",0.5,0.1,0,0
"Vampyroteuthis infernalis","none","PB",0,0,0,2.8
"Vibilia gibbosa","none","NO",0.8620689655,0.24,0.05,0
"Vinciguerria lucetia","juvenile","NO",20.1,0,4.95,0
"Vinciguerria lucetia","none","NO",0.5,0.1,0,0
"Walvisteuthis rancureli","none","NO",26.6,8.6,11.3,0
