"","dendlabs","prey_class","prey_order","prey_family","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","maxFO","maxN","maxM","prob.clust.num.aggl"
"141","141","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla gurnardus","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling",4,0,0,1
"142","142","Actinopterygii","Stephanoberyciformes","Melamphaidae","Melamphaes lugubris","adult","mesopelagic","oceanic","diel (no)","season (no)","non-schooling",5.9,1.1,0,6
"143","143","Actinopterygii","Stephanoberyciformes","Melamphaidae","Scopelogadus bispinosus","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",2.7,0.4,0,2
"144","144","Actinopterygii","Stomiiformes","Phosichthyidae","Vinciguerria lucetia","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",20.1,0.1,4.95,1
"145","145","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus aculeatus","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0,0,2
"146","146","Actinopterygii","Stomiiformes","Sternoptychidae","Argyropelecus olfersii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",100,0,0,1
"147","147","Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus imperatorius","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling",4.2,0.2,0.1,1
"148","148","Actinopterygii","Stomiiformes","Sternoptychidae","Maurolicus muelleri","adult","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling",85.7142857142857,78.5,24.6,1
"149","149","Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx diaphana","adult","mesopelagic","oceanic","diel (no)","season (yes)","non-schooling",44.4444444444444,0.1,0,6
"150","150","Actinopterygii","Stomiiformes","Sternoptychidae","Sternoptyx obscura","adult","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.996677740863787,0,0,2
"151","151","Actinopterygii","Stomiiformes","Stomiidae","Bathophilus flemingi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0.1,0,2
"152","152","Actinopterygii","Stomiiformes","Stomiidae","Melanostomias valdiviae","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","non-schooling",0,0,0,2
"153","153","Actinopterygii","Stomiiformes","Stomiidae","Photonectes margarita","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling",0,0,0,3
"154","154","Actinopterygii","Sygnathiformes","Centriscidae","Macroramphosus scolopax","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling",30,0,0.07,1
"155","155","Actinopterygii","Syngnathiformes","Syngnathidae","Entelurus aequoreus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling",41,0,35,1
"156","156","Actinopterygii","Syngnathiformes","Syngnathidae","Syngnathus californiensis","juvenile","demersal","coastal","diel (no)","season (yes)","non-schooling",1,0,0,5
"157","157","Actinopterygii","Tetraodontiformes","Balistidae","Balistes punctatus","juvenile","demersal","coastal","diel (no)","season (no)","non-schooling",1.1,0.2,0.2,4
"158","158","Actinopterygii","Tetraodontiformes","Balistidae","Canthidermis maculata","juvenile","epipelagic","coastal","diel (no)","season (no)","schooling",1.6,0.1,0,3
"159","159","Actinopterygii","Tetraodontiformes","Molidae","Masturus lanceolatus","juvenile","epipelagic","oceanic","diel (yes)","season (no)","non-schooling",0.5,0.1,0,2
"160","160","Actinopterygii","Tetraodontiformes","Molidae","Ranzania laevis","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","non-schooling",2.2,1.3,1.6,2
"161","161","Actinopterygii","Tetraodontiformes","Ostraciidae","Lactoria diaphana","juvenile","epipelagic","coastal","diel (no)","season (yes)","non-schooling",0.3,0.01593117731,0,5
