"prey_sp","prey_age_reported_1","maxl_type","maxL (cm)","maxGape (cm)","life_stage","life_note"
"Merluccius productus","juvenile","PB",6.09,7.97988,"juvenile","Glaser (2010) reported juvenile life stage, McHugh (1952) reported larvae / postlarvae"
"Merluccius productus","larva","NO",0,7.38732,"juvenile","Glaser (2010) reported juvenile life stage, McHugh (1952) reported larvae / postlarvae"
"Merluccius productus","none","NO",0,7.38732,"juvenile","Glaser (2010) reported juvenile life stage, McHugh (1952) reported larvae / postlarvae"
"Microgadus proximus","none","NO",0,7.38732,"juvenile",NA
"Micromesistius poutassou","none","NO",16,7.75767,"juvenile",NA
"Microstomus pacificus","none","NO",0,7.38732,"juvenile","Most likely juvenile / young-of-year"
"Monacoa grimaldii","none","NO",0,9.61765,"adult",NA
"Mugil cephalus","none","NO",0,7.38732,"juvenile",NA
"Mullus barbatus barbatus","none","NO",0,7.75767,"juvenile",NA
"Myctophum asperum","none","NO",0,9.61765,"adult",NA
"Myctophum punctatum","adult","NO",0,7.75767,"adult","Bouxin & Legendre reported age"
"Nannobrachium regale","larva","NO",0,7.38732,"juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year"
"Nannobrachium ritteri","larva","NO",0,7.38732,"juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year"
"Nannobrachium ritteri","none","NO",0,7.38732,"juvenile","McHugh (1952) reported ""larvae & young"", most likely were post-larvae -- juvenile / young-of-year"
"Nansenia macrolepis","none","NO",0,9.61765,"juvenile",NA
"Natosquilla investigatoris","none","NO",0,9.61765,"adult","Based on trait"
"Nealotus tripes","none","NO",0,10.0703,"juvenile","Based on traits"
"Nematoscelis megalops","adult","NO",0,7.75767,"adult","Bouxin & Legendre reported adults"
"Nematoscelis megalops","adult","TL",4,7.75767,"adult","Bouxin & Legendre reported adults"
"Nematoscelis megalops","none","NO",0,9.52712,"adult","Bouxin & Legendre reported adults"
"Neoanchisquilla tuberculata","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Neognathophausia gigas","adult","NO",0,7.38732,"adult",NA
"Neognathophausia ingens","none","NO",0,7.75767,"juvenile","Large - giant red mysid shrimp"
"Nesiarchus nasutus","none","NO",0,10.0703,"juvenile","Based on traits"
"Notoscopelus kroyeri","adult","NO",0,7.75767,"adult","Bouxin & Legendre reported age, but based on gape length more likely juveniles"
"Notoscopelus kroyeri","none","NO",0,6.95936,"adult","Bouxin & Legendre reported age, but based on gape length more likely juveniles"
"Nyctiphanes australis","none","NO",0,7.8686104,"adult",NA
"Octopoteuthis nielseni","juvenile","NO",0,7.38732,"juvenile","McHugh (1952) reported juveniles"
"Octopoteuthis rugosa","none","NO",0,9.61765,"juvenile",NA
"Octopoteuthis sicula","none","NO",0,7.97988,"juvenile",NA
"Octopus bimaculatus","juvenile","NO",0,7.38732,"juvenile","Pinkas et al. (1971) reported pelagic juvenile Octopus bimaculatus"
"Octopus bimaculatus","none","ML",0,7.97988,"juvenile","Pinkas et al. (1971) reported pelagic juvenile Octopus bimaculatus"
"Octopus vulgaris","none","NO",0,9.15677,"juvenile","Based on O. bimaculatus"
"Ocythoe tuberculata","none","NO",0,9.61765,"juvenile","Most likely juvenile / young-of-year"
"Odontodactylus hansenii","none","NO",0,7.2721,"juvenile","Most likely juvenile / young-of-year"
