dendlabs,prey_class,prey_order,prey_family,prey_sp,prey_age_reported_1,life_stage,vert_habitat,horz_habitat,diel_migrant_cat,refuge_cat,season_cat,gregarious,prob.clust.num
144,Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus atlanticus,none,juvenile,epipelagic,oceanic,diel (no),refuge (yes),season (no),schooling,4
145,Actinopterygii,Perciformes,Tetragonuridae,Tetragonurus cuvieri,none,juvenile,epipelagic,oceanic,diel (no),refuge (yes),season (no),schooling,4
151,Actinopterygii,Perciformes,Carangidae,Trachinotus ovatus,none,juvenile,epipelagic,coastal,diel (no),refuge (no),season (yes),schooling,4
9,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus aculeatus,none,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,5
10,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus imperialis,none,adult,benthic,continental shelf,diel (yes),refuge (yes),season (yes),solitary,5
12,Gastropoda,Littorinimorpha,Atlantidae,Atlanta peronii,none,adult,epipelagic,oceanic,diel (yes),refuge (no),season (no),solitary,5
41,Actinopterygii,Perciformes,Gempylidae,Diplospinus multistriatus,none,juvenile,mesopelagic,continental shelf,diel (yes),refuge (no),season (no),solitary,5
44,Cephalopoda,Octopoda,Eledonidae,Eledone cirrhosa,none,juvenile,benthic,continental shelf,diel (yes),refuge (yes),season (no),solitary,5
73,Gastropoda,Caenogastropoda,Epitoniodea,Janthina exigua,none,adult,epipelagic,oceanic,diel (no),refuge (no),season (no),solitary,5
86,Malacostraca,Stomatopoda,Lysiosquillidae,Lysiosquilla tredecimdentata,none,adult,benthic,coastal,diel (no),refuge (yes),season (no),solitary,5
89,Actinopterygii,Tetraodontiformes,Molidae,Masturus lanceolatus,none,juvenile,epipelagic,oceanic,diel (yes),refuge (no),season (no),solitary,5
94,Actinopterygii,Stomiiformes,Stomiidae,Melanostomias valdiviae,none,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,5
107,Malacostraca,Stomatopoda,Odontodacylidae,Odontodactylus scyllarus,none,adult,benthic,reef-associated,diel (no),refuge (yes),season (no),solitary,5
111,Cephalopoda,Octopoda,Opisthoteuthidae,Opisthoteuthis californiana,none,adult,benthic,continental slope,diel (yes),refuge (yes),season (no),solitary,5
118,Malacostraca,Decapoda,Scyllaridae,Parribacus antarcticus,none,adult,benthic,reef-associated,diel (no),refuge (yes),season (no),solitary,5
136,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx diaphana,none,adult,mesopelagic,oceanic,diel (no),refuge (no),season (no),solitary,5
137,Actinopterygii,Stomiiformes,Sternoptychidae,Sternoptyx obscura,adult,adult,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,5
156,Cephalopoda,Vampyromorpha,Vampyroteuthidae,Vampyroteuthis infernalis,none,juvenile,mesopelagic,oceanic,diel (yes),refuge (no),season (no),solitary,5
31,Actinopterygii,Perciformes,Priacanthidae,Cookeolus japonicus,none,adult,demersal,reef-associated,diel (no),refuge (yes),season (yes),solitary,6
61,Actinopterygii,Perciformes,Labridae,Halichoeres nicholsi,none,juvenile,demersal,reef-associated,diel (no),refuge (yes),season (no),schooling,6
56,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus vulgaris,none,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (no),solitary,7
58,Actinopterygii,Pleutonectiformes,Pleuronectidae,Glyptocephalus zachirus,none,juvenile,demersal,continental shelf,diel (no),refuge (yes),season (no),solitary,7
115,Actinopterygii,Tetraodontiformes,Ostraciidae,Ostracion cubicus,none,juvenile,epipelagic,oceanic,diel (no),refuge (yes),season (yes),solitary,7
116,Malacostraca,Decapoda,Palinuridae,Palinurus mauritanicus,juvenile,juvenile,benthic,continental shelf,diel (no),refuge (yes),season (yes),solitary,7
122,Cephalopoda,Octopoda,Octopodidae,Pteroctopus tetracirrhus,juvenile,juvenile,benthic,continental shelf,diel (yes),refuge (yes),season (yes),solitary,7
